TransactionID,Date,CompanyID,AccountID,Debit,Credit,Description
1,2026-01-24,100,1,0,72266.21,Product sales - wholesale
2,2026-01-05,100,1,0,98978.37,Online store sales
3,2026-01-24,100,1,0,70499.04,Online store sales
4,2026-01-14,100,1,0,67387.77,Product sales - retail
5,2026-01-08,100,2,10153.24,0,Freight cost on goods
6,2026-01-07,100,3,6459.48,0,Influencer partnership
7,2026-01-18,100,3,40743.64,0,Radio ad spot
8,2026-01-19,100,3,17124.23,0,Trade show sponsorship
9,2026-01-06,100,4,46734.41,0,Overtime payment
10,2026-01-05,100,5,23713.78,0,Office rent - HQ
11,2026-01-11,100,5,57646.72,0,Office rent - HQ
12,2026-01-04,100,7,16492.21,0,Invoice raised to customer
13,2026-01-12,100,8,0,35128.56,Supplier invoice received
14,2026-01-26,100,6,68298.08,0,Customer payment received
15,2026-02-04,100,1,0,141884.98,Product sales - wholesale
16,2026-02-10,100,1,0,65760.04,Online store sales
17,2026-02-28,100,1,0,173703.95,Product sales - wholesale
18,2026-02-23,100,1,0,165470.43,Product sales - retail
19,2026-02-25,100,2,41369.48,0,Inventory purchase - Supplier B
20,2026-02-28,100,3,52042.47,0,Facebook Ads campaign
21,2026-02-21,100,4,20288.55,0,Staff bonus
22,2026-02-12,100,4,13945.98,0,Monthly payroll run
23,2026-02-22,100,5,19683.78,0,Branch rent
24,2026-02-21,100,5,8927.14,0,Office rent - HQ
25,2026-02-08,100,5,34377.69,0,Office rent - HQ
26,2026-02-09,100,7,42358.21,0,Invoice raised to customer
27,2026-02-21,100,8,0,79266.63,Supplier invoice received
28,2026-02-08,100,6,75052.96,0,Bank transfer
29,2026-03-02,100,1,0,95809.61,Product sales - wholesale
30,2026-03-03,100,1,0,130232.96,Product sales - retail
31,2026-03-11,100,2,53200.22,0,Inventory purchase - Supplier A
32,2026-03-13,100,2,41049.13,0,Freight cost on goods
33,2026-03-09,100,2,30236.85,0,Inventory purchase - Supplier A
34,2026-03-18,100,3,45974.39,0,Trade show sponsorship
35,2026-03-19,100,4,37152.23,0,Staff bonus
36,2026-03-05,100,4,24909.8,0,Overtime payment
37,2026-03-25,100,4,32143.37,0,Monthly payroll run
38,2026-03-06,100,5,13406.27,0,Branch rent
39,2026-03-03,100,7,39551.2,0,Invoice raised to customer
40,2026-03-20,100,8,0,36933.71,Supplier invoice received
41,2026-03-17,100,6,99689.71,0,Bank transfer
42,2026-04-01,100,1,0,222155.94,Online store sales
43,2026-04-22,100,1,0,194144.36,Online store sales
44,2026-04-25,100,1,0,200175.56,Online store sales
45,2026-04-10,100,1,0,118035.09,Product sales - wholesale
46,2026-04-24,100,2,29954.8,0,Freight cost on goods
47,2026-04-25,100,3,58453.85,0,Google Ads spend
48,2026-04-04,100,3,32922.49,0,Influencer partnership
49,2026-04-17,100,4,51291.81,0,Overtime payment
50,2026-04-12,100,4,15940.11,0,Monthly payroll run
51,2026-04-17,100,5,57442.49,0,Office rent - HQ
52,2026-04-16,100,5,37941.95,0,Office rent - HQ
53,2026-04-12,100,5,11152.72,0,Warehouse rent
54,2026-04-08,100,7,26761.66,0,Invoice raised to customer
55,2026-04-03,100,8,0,71460.67,Supplier invoice received
56,2026-04-16,100,6,26852.28,0,Customer payment received
57,2026-05-05,100,1,0,203166.89,Online store sales
58,2026-05-18,100,1,0,145056.48,Product sales - retail
59,2026-05-28,100,1,0,103011.33,Online store sales
60,2026-05-07,100,1,0,134627.59,Online store sales
61,2026-05-23,100,2,42942.72,0,Inventory purchase - Supplier B
62,2026-05-22,100,2,26944.58,0,Freight cost on goods
63,2026-05-17,100,2,25538.13,0,Inventory purchase - Supplier B
64,2026-05-03,100,3,18634.81,0,Trade show sponsorship
65,2026-05-08,100,4,37356.98,0,Overtime payment
66,2026-05-23,100,5,5395.5,0,Branch rent
67,2026-05-03,100,7,14121.16,0,Invoice raised to customer
68,2026-05-28,100,8,0,73379.4,Supplier invoice received
69,2026-05-17,100,6,46434.28,0,Customer payment received
70,2026-06-07,100,1,0,183795.56,Online store sales
71,2026-06-19,100,1,0,76462.37,Online store sales
72,2026-06-26,100,1,0,144534.21,Product sales - wholesale
73,2026-06-04,100,2,15472.55,0,Freight cost on goods
74,2026-06-14,100,2,28707.82,0,Inventory purchase - Supplier B
75,2026-06-02,100,3,52511.02,0,Influencer partnership
76,2026-06-21,100,3,40940.05,0,Facebook Ads campaign
77,2026-06-11,100,4,27144.17,0,Monthly payroll run
78,2026-06-18,100,5,15537.45,0,Warehouse rent
79,2026-06-06,100,7,19812.76,0,Invoice raised to customer
80,2026-06-08,100,8,0,29498.16,Supplier invoice received
81,2026-06-03,100,6,89958.88,0,Bank transfer
82,2026-01-21,200,1,0,69581.75,Online store sales
83,2026-01-03,200,1,0,217205.52,Product sales - retail
84,2026-01-16,200,1,0,83262.22,Product sales - wholesale
85,2026-01-13,200,1,0,92749.46,Product sales - retail
86,2026-01-13,200,2,25843.52,0,Inventory purchase - Supplier B
87,2026-01-23,200,3,20688.71,0,Influencer partnership
88,2026-01-18,200,3,59748.25,0,Influencer partnership
89,2026-01-07,200,4,31766.93,0,Staff bonus
90,2026-01-02,200,4,16973.55,0,Overtime payment
91,2026-01-02,200,4,45465.54,0,Overtime payment
92,2026-01-19,200,5,8144.09,0,Warehouse rent
93,2026-01-28,200,5,32656.77,0,Branch rent
94,2026-01-17,200,7,21020.29,0,Invoice raised to customer
95,2026-01-06,200,8,0,15607.8,Supplier invoice received
96,2026-01-03,200,6,25481.71,0,Customer payment received
97,2026-02-19,200,1,0,73977.32,Product sales - retail
98,2026-02-02,200,1,0,165783.81,Online store sales
99,2026-02-22,200,1,0,66396.68,Online store sales
100,2026-02-09,200,2,33753.05,0,Inventory purchase - Supplier A
101,2026-02-11,200,2,41834.93,0,Inventory purchase - Supplier A
102,2026-02-05,200,2,19608.8,0,Freight cost on goods
103,2026-02-11,200,3,21499.84,0,Facebook Ads campaign
104,2026-02-20,200,3,5512.35,0,Billboard rental
105,2026-02-03,200,3,59785.3,0,Billboard rental
106,2026-02-05,200,4,32823.66,0,Staff bonus
107,2026-02-12,200,5,53359.86,0,Warehouse rent
108,2026-02-27,200,7,21042.28,0,Invoice raised to customer
109,2026-02-10,200,8,0,48025.26,Supplier invoice received
110,2026-02-26,200,6,68934.22,0,Customer payment received
111,2026-03-10,200,1,0,213420.83,Online store sales
112,2026-03-05,200,1,0,70717.3,Product sales - wholesale
113,2026-03-04,200,1,0,73085.73,Online store sales
114,2026-03-09,200,1,0,160644.73,Product sales - wholesale
115,2026-03-11,200,2,16584.63,0,Inventory purchase - Supplier A
116,2026-03-28,200,2,42812.34,0,Inventory purchase - Supplier B
117,2026-03-09,200,2,32797.5,0,Inventory purchase - Supplier A
118,2026-03-27,200,3,39885.64,0,Trade show sponsorship
119,2026-03-25,200,4,5195.01,0,Monthly payroll run
120,2026-03-06,200,5,58888.89,0,Branch rent
121,2026-03-23,200,5,29300.95,0,Warehouse rent
122,2026-03-04,200,5,35849.88,0,Office rent - HQ
123,2026-03-23,200,7,76153.57,0,Invoice raised to customer
124,2026-03-18,200,8,0,73275.0,Supplier invoice received
125,2026-03-12,200,6,22882.25,0,Customer payment received
126,2026-04-10,200,1,0,75489.1,Product sales - wholesale
127,2026-04-26,200,1,0,229796.3,Product sales - retail
128,2026-04-07,200,1,0,229784.93,Online store sales
129,2026-04-12,200,2,41681.34,0,Freight cost on goods
130,2026-04-24,200,3,58561.04,0,Google Ads spend
131,2026-04-08,200,3,55917.01,0,Google Ads spend
132,2026-04-01,200,4,53477.89,0,Monthly payroll run
133,2026-04-26,200,5,55846.8,0,Warehouse rent
134,2026-04-28,200,5,49122.93,0,Branch rent
135,2026-04-09,200,5,49591.21,0,Office rent - HQ
136,2026-04-04,200,7,65116.22,0,Invoice raised to customer
137,2026-04-02,200,8,0,36777.92,Supplier invoice received
138,2026-04-08,200,6,88687.46,0,Customer payment received
139,2026-05-27,200,1,0,119931.68,Product sales - retail
140,2026-05-22,200,1,0,94584.71,Product sales - retail
141,2026-05-09,200,1,0,129693.2,Product sales - retail
142,2026-05-17,200,2,24313.04,0,Inventory purchase - Supplier B
143,2026-05-27,200,2,42373.5,0,Freight cost on goods
144,2026-05-04,200,3,56658.04,0,Trade show sponsorship
145,2026-05-09,200,3,14821.23,0,Facebook Ads campaign
146,2026-05-12,200,4,37811.42,0,Overtime payment
147,2026-05-17,200,5,29001.66,0,Office rent - HQ
148,2026-05-19,200,5,26185.75,0,Office rent - HQ
149,2026-05-23,200,7,27830.58,0,Invoice raised to customer
150,2026-05-17,200,8,0,40524.03,Supplier invoice received
151,2026-05-18,200,6,94046.01,0,Customer payment received
152,2026-06-22,200,1,0,136259.48,Product sales - wholesale
153,2026-06-22,200,1,0,174631.08,Product sales - retail
154,2026-06-10,200,1,0,193950.85,Online store sales
155,2026-06-11,200,2,41679.11,0,Inventory purchase - Supplier B
156,2026-06-18,200,2,43346.46,0,Inventory purchase - Supplier A
157,2026-06-13,200,3,28124.55,0,Influencer partnership
158,2026-06-20,200,4,54654.31,0,Overtime payment
159,2026-06-18,200,4,21552.24,0,Monthly payroll run
160,2026-06-07,200,4,21713.12,0,Staff bonus
161,2026-06-11,200,5,38366.39,0,Warehouse rent
162,2026-06-22,200,5,29298.23,0,Office rent - HQ
163,2026-06-26,200,5,33114.57,0,Branch rent
164,2026-06-03,200,7,21878.4,0,Invoice raised to customer
165,2026-06-22,200,8,0,29865.05,Supplier invoice received
166,2026-06-11,200,6,70635.27,0,Customer payment received
