CompanyID,AccountID,Period,BudgetAmount
100,2,2026-01,106368.47
100,3,2026-01,31506.83
100,4,2026-01,82764.73
100,5,2026-01,14173.92
100,2,2026-02,93982.6
100,3,2026-02,27146.55
100,4,2026-02,75917.48
100,5,2026-02,14925.41
100,2,2026-03,106994.75
100,3,2026-03,27436.97
100,4,2026-03,78631.06
100,5,2026-03,15389.3
100,2,2026-04,93888.7
100,3,2026-04,31178.13
100,4,2026-04,79910.03
100,5,2026-04,14231.95
100,2,2026-05,103121.16
100,3,2026-05,27033.27
100,4,2026-05,84015.43
100,5,2026-05,15810.14
100,2,2026-06,92131.75
100,3,2026-06,29550.88
100,4,2026-06,74814.19
100,5,2026-06,16373.9
200,2,2026-01,100359.16
200,3,2026-01,27301.31
200,4,2026-01,75987.17
200,5,2026-01,16045.01
200,2,2026-02,99129.24
200,3,2026-02,31808.5
200,4,2026-02,82681.24
200,5,2026-02,16463.68
200,2,2026-03,101909.05
200,3,2026-03,32700.24
200,4,2026-03,86262.81
200,5,2026-03,15337.96
200,2,2026-04,104385.48
200,3,2026-04,30028.67
200,4,2026-04,85289.11
200,5,2026-04,15143.62
200,2,2026-05,107944.16
200,3,2026-05,31461.93
200,4,2026-05,79594.79
200,5,2026-05,14277.57
200,2,2026-06,94944.79
200,3,2026-06,30825.97
200,4,2026-06,84253.02
200,5,2026-06,15063.9
